Data;Código do Contrato;Pregão;Vencimento;Volume(R$);Volume(U$);Número de contas em Aberto;Preço de Abertura;Preço Mínimo;Preço Máximo;Último Preço;Preço de Ajuste Atual; Preço de Ajuste Anterior;Valor de Ajuste por Contrato;Variação
20170825;AUD;*;U17 ;7467.12;0000000237338;00000352;02489000;02489000;02489100;02489100;0000025057110;0000024875680;0000000108858;00181430;
20170825;AUD;*;V17 ;451304.28;0000014344424;00001510;02507200;02507200;02507300;02507300;0000025153300;0000024966270;0000000112218;00187030;
20170825;AUD;*;X17 ;0.0;0000000000000;00000011;00000000;00000000;00000000;00000000;0000025257830;0000025068830;0000000113400;00189000;
20170825;BGI;*;F18 ;0.0;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000013761;0000000013755;0000000001980;00000006;
20170825;BGI;*;K18 ;0.0;0000000000000;00000260;00000000;00000000;00000000;00000000;0000000013983;0000000013969;0000000004620;00000014;
20170825;BGI;*;Q17 ;7355.37;0000000233038;00000768;00013900;00013900;00013950;00013950;0000000013907;0000000013908;0000000000330;00000001;
20170825;BGI;*;U17 ;32850.01;0000001040776;00000727;00013950;00013950;00014050;00014050;0000000014050;0000000013940;0000000036300;00000110;
20170825;BGI;*;V17 ;599340.15;0000018988694;00007803;00013885;00013881;00013940;00013917;0000000013909;0000000013910;0000000000330;00000001;
20170825;BGI;*;V18 ;471.9;0000000014951;00000194;00014300;00014300;00014300;00014300;0000000014407;0000000014338;0000000022770;00000069;
20170825;BGI;*;X17 ;15881.38;0000000503164;00000400;00013699;00013699;00013785;00013750;0000000013810;0000000013738;0000000023760;00000072;
20170825;BGI;*;Z17 ;0.0;0000000000000;00000011;00000000;00000000;00000000;00000000;0000000014014;0000000014015;0000000000330;00000001;
20170825;BGI;C;FLIP;0.0;0000000000000;00000010;00000000;00000000;00000000;00000000;0000000000911;0000000000908;0000000000000;00000000;
20170825;BGI;V;FLMS;0.0;0000000000000;00000028;00000000;00000000;00000000;00000000;0000000000265;0000000000269;0000000000000;00000000;
20170825;BGI;V;FLMZ;0.0;0000000000000;00000023;00000000;00000000;00000000;00000000;0000000000372;0000000000376;0000000000000;00000000;
20170825;BGI;V;FLN3;0.0;0000000000000;00000048;00000000;00000000;00000000;00000000;0000000000458;0000000000462;0000000000000;00000000;
20170825;BGI;C;KLJ2;0.0;0000000000000;00000007;00000000;00000000;00000000;00000000;0000000000337;0000000000334;0000000000000;00000000;
20170825;BGI;V;KLML;0.0;0000000000000;00000007;00000000;00000000;00000000;00000000;0000000000369;0000000000374;0000000000000;00000000;
