Data;Código do Contrato;Pregão;Vencimento;Volume(R$);Volume(U$);Número de contas em Aberto;Preço de Abertura;Preço Mínimo;Preço Máximo;Último Preço;Preço de Ajuste Atual; Preço de Ajuste Anterior;Valor de Ajuste por Contrato;Variação
20170102;AUD;*;F17 ;0000000000000;0000000000000;00000238;00000000;00000000;00000000;00000000;0000023599140;0000023599140;0000000000000;00000000;
20170102;AUD;*;G17 ;0000000000000;0000000000000;00001348;00000000;00000000;00000000;00000000;0000023749910;0000023621280;0000000077178;00128630;
20170102;AUD;*;H17 ;0000000000000;0000000000000;00000521;00000000;00000000;00000000;00000000;0000023908230;0000023780160;0000000076842;00128070;
20170102;AUD;*;J17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000024103820;0000023900000;0000000000000;00203820;
20170102;BGI;*;F17 ;0000005776600;0000001764656;00001203;00014975;00014946;00014986;00014956;0000000014963;0000000014995;0000000010560;00000032;
20170102;BGI;*;F18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000014941;0000000015086;0000000000000;00000145;
20170102;BGI;*;G17 ;0000000000000;0000000000000;00000062;00000000;00000000;00000000;00000000;0000000014772;0000000014803;0000000010230;00000031;
20170102;BGI;*;H17 ;0000000000000;0000000000000;00000052;00000000;00000000;00000000;00000000;0000000014780;0000000014811;0000000010230;00000031;
20170102;BGI;*;J17 ;0000000000000;0000000000000;00000002;00000000;00000000;00000000;00000000;0000000014696;0000000014727;0000000010230;00000031;
20170102;BGI;*;K17 ;0000001351953;0000000412999;00001736;00014650;00014553;00014650;00014624;0000000014619;0000000014650;0000000010230;00000031;
20170102;BGI;*;V17 ;0000000896936;0000000273999;00000503;00015100;00015099;00015100;00015100;0000000015049;0000000015081;0000000010560;00000032;
20170102;BGI;*;X17 ;0000000000000;0000000000000;00000076;00000000;00000000;00000000;00000000;0000000014991;0000000015051;0000000019800;00000060;
20170102;BGI;*;Z17 ;0000000000000;0000000000000;00000087;00000000;00000000;00000000;00000000;0000000014991;0000000015051;0000000019800;00000060;
20170102;BRI;*;G17 ;0000000000000;0000000000000;00001149;00000000;00000000;00000000;00000000;0000000010063;0000000010181;0000000118000;00000118;
20170102;BRI;*;J17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000010252;0000000010371;0000000000000;00000119;
