0000020010120130812PRACF2*G14 18380620140217000000000000000050800000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000004084 +0000000000000 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000001320018900129    0000000000000000000000000000000000000                    ACFG14              EMERC2014021720140218+0000000003758+0000000004280
0000040010120130812PRACF2*U13 18380620130916000000000000000050800000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000004042 +0000000000000 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000250003500025    0000000000000000000000000000000000000                    ACFU13              EMERC2013091620130917+0000000003705+0000000004219
0000060010120130812PRACF2*Z13 18380620131216000000000000000050800000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000004054 +0000000000000 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000890012600088    0000000000000000000000000000000000000                    ACFZ13              EMERC2013121620131217+0000000003724+0000000004240
0000080010120130812PRAUD2*F14 18380620140102000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000021285450 +0000021285130 00000000000000000000000000000000000000000000000000000003400000000+00000320+0000000000000000000000000000000000000000000001000014300097    0000000000000000000000000000000000005                    AUDF14              EMERC2013123020140102+0000002000803+0000002256223
0000100010120130812PRAUD2*G14 18380620140203000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000021374850 +0000021375070 00000000000000000000000000000000000000000000000000000003400000000-00000220-0000000000000000000000000000000000000000000001220017500119    0000000000000000000000000000000000006                    AUDG14              EMERC2014013120140203+0000002009257+0000002265757
0000120010120130812PRAUD2*H14 18380620140305000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000021460650 +0000021457070 00000000000000000000000000000000000000000000000000000003400000000+00003580+0000000000000000000000000000000000000000000001420020500139    0000000000000000000000000000000000007                    AUDH14              EMERC2014022820140305+0000002016965+0000002274449
0000140010120130812PRAUD2*J14 18380620140401000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000021540010 +0000021537100 00000000000000000000000000000000000000000000000000000003400000000+00002910+0000000000000000000000000000000000000000000001610023200158    0000000000000000000000000000000000008                    AUDJ14              EMERC2014033120140401+0000002024488+0000002282932
0000160010120130812PRAUD2*K14 18380620140502000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000021626050 +0000021620570 00000000000000000000000000000000000000000000000000000003400000000+00005480+0000000000000000000000000000000000000000000001810026300178    0000000000000000000000000000000000009                    AUDK14              EMERC2014043020140502+0000002032334+0000002291780
0000180010120130812PRAUD2*M14 18380620140602000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000021720160 +0000021713050 00000000000000000000000000000000000000000000000000000003400000000+00007110+0000000000000000000000000000000000000000000002020029400199    0000000000000000000000000000000000010                    AUDM14              EMERC2014053020140602+0000002041027+0000002301583
0000200010120130812PRAUD2*N14 18380620140701000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000021808680 +0000021800160 00000000000000000000000000000000000000000000000000000003400000000+00008520+0000000000000000000000000000000000000000000002220032300219    0000000000000000000000000000000000011                    AUDN14              EMERC2014063020140701+0000002049216+0000002310816
0000220010120130812PRAUD2*Q14 18380620140801000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000021916400 +0000021902430 00000000000000000000000000000000000000000000000000000003400000001+00013970+0000000000000000000000000000000000000000000002450035400241    0000000000000000000000000000000000012                    AUDQ14              EMERC2014073120140801+0000002058829+0000002321657
0000240010120130812PRAUD2*U13 18380620130902000000000000000006000000000000013151599000000578804600001829000000030000010500000+0000000000000+00000000+02093000+02086648+02093000+0208755500090+0208664810280020130812+02095500+00000000+0000020960650S+0000020960750 00000000000600000000000000000000000000000000000000000003400000000-00000100-0000000000000000000000000000000000000000000000150002100015    0000000000000000000000000000000000001                    AUDU13              EMERC2013083020130902+0000001970311+0000002221839
0000260010120130812PRAUD2*V13 18380620131001000000000000000006000000000000000000000000000000000000002589000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020130809+02104125+00000000+0000021040370S+0000021040480 00000000000660000000000000000000000000000000000000000003400000000-00000110-0000000000000000000000000000000000000000000000360005000036    0000000000000000000000000000000000002                    AUDV13              EMERC2013093020131001+0000001977806+0000002230290
0000280010120130812PRAUD2*X13 18380620131101000000000000000006000000000000000000000000000000000000000080000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020130802+02079500+00000000+0000021135180S+0000021135700 00000000003120000000000000000000000000000000000000000003400000000-00000520-0000000000000000000000000000000000000000000000590008100059    0000000000000000000000000000000000003                    AUDX13              EMERC2013103120131101+0000001986756+0000002240384
0000300010120130812PRAUD2*Z13 18380620131202000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020130627+02070000+00000000+0000021210480 +0000021211180 00000000000000000000000000000000000000000000000000000003400000000-00000700-0000000000000000000000000000000000000000000000790011200078    0000000000000000000000000000000000004                    AUDZ13              EMERC2013112920131202+0000001993851+0000002248385
0000320010120130812PRBGI2*F14 18380620140131000000000000000033000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000010308 +0000000010348 00000000000000000000000000000000000000000000000000000002200000004-00000040-0000000000000000000000000000000000000000000001210017200118    0000000000000000000000000000000000000                    BGIF14              EMERC2014013120140203+0000000009986+0000000010710
0000340010120130812PRBGI2*G14 18380620140228000000000000000033000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000010320 +0000000010360 00000000000000000000000000000000000000000000000000000002200000004-00000040-0000000000000000000000000000000000000000000001410020000138    0000000000000000000000000000000000000                    BGIG14              EMERC2014022820140305+0000000009998+0000000010722
0000360010120130812PRBGI2*H14 18380620140331000000000000000033000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000010166 +0000000010205 00000000000000000000000000000000000000000000000000000002200000004-00000039-0000000000000000000000000000000000000000000001600023100157    0000000000000000000000000000000000000                    BGIH14              EMERC2014033120140401+0000000009848+0000000010562
0000380010120130812PRBGI2*J14 18380620140430000000000000000033000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000010052 +0000000010091 00000000000000000000000000000000000000000000000000000002200000004-00000039-0000000000000000000000000000000000000000000001800026100177    0000000000000000000000000000000000000                    BGIJ14              EMERC2014043020140502+0000000009738+0000000010444
0000400010120130812PRBGI2*K14 18380620140530000000000000000033000000000000000000000000000000000000000010000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020130626+00009850+00000000+0000000009983S+0000000010022 00000000128700000000000000000000000000000000000000000002200000004-00000039-0000000000000000000000000000000000000000000002010029100198    0000000000000000000000000020140530006                    BGIK14              EMERC2014053020140602+0000000009672+0000000010372
0000420010120130812PRBGI2*Q13 18380620130830000000000000000033000000000000060386544000002644473100007548000002810000181500029+0001007000005+00010074+00010105+00010067+00010110+0001008200001+0001007015590020130812+00010105+00000000+0000000010075S+0000000010103 00000000092400000000000000000000000000000000000000000002200000003-00000028-0000000000000000000000000000000000000000000000140001800014    0000000000000000000000000020130830001                    BGIQ13              EMERC2013083020130902+0000000009750+0000000010456
0000440010120130812PRBGI2*U13 18380620130930000000000000000033000000000000000702834000000030778800001793000000170000002100001+0001013000010+00010155+00010185+00010125+00010185+0001014200001+0001013115590020130812+00010185+00000000+0000000010136S+0000000010185 00000000161700000000000000000000000000000000000000000002200000005-00000049-0000000000000000000000000000000000000000000000350004900035    0000000000000000000000000020130930002                    BGIU13              EMERC2013093020131001+0000000009829+0000000010541
0000460010120130812PRBGI2*V13 18380620131031000000000000000033000000000000015241729000000667472300009988000000830000044700051+0001029600001+00010301+00010355+00010300+00010363+0001033300002+0001030015580020130812+00010348+00000000+0000000010306S+0000000010344 00000000125400000000000000000000000000000000000000000002200000004-00000038-0000000000000000000000000000000000000000000000580008000058    0000000000000000000000000020131031003                    BGIV13              EMERC2013103120131101+0000000009982+0000000010706
