0000020010120130912PRACF2*G14 18123420140217000000000000000050800000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000004096 +0000000004075 00000000000000000000000000000000000000000000000000000002200000005+00000021+0000000000000000000000000000000000000000000001090015800106    0000000000000000000000000000000000000                    ACFG14              EMERC2014021720140218+0000000003811+0000000004339
0000040010120130912PRACF2*U13 18123420130916000000000000000050800000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000004047 +0000000004044 00000000000000000000000000000000000000000000000000000002200000001+00000003+0000000000000000000000000000000000000000000000020000400002    0000000000000000000000000000000000000                    ACFU13              EMERC2013091620130917+0000000000001+0000099999901
0000060010120130912PRACF2*Z13 18123420131216000000000000000050800000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000004062 +0000000004050 00000000000000000000000000000000000000000000000000000002200000003+00000012+0000000000000000000000000000000000000000000000660009500065    0000000000000000000000000000000000000                    ACFZ13              EMERC2013121620131217+0000000003787+0000000004313
0000080010120130912PRAUD2*F14 18123420140102000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000021393220 +0000021542480 00000000000000000000000000000000000000000000000000000003400000007-00149260-0000000000000000000000000000000000000000000000770011200074    0000000000000000000000000000000000004                    AUDF14              EMERC2013123020140102+0000002024994+0000002283502
0000100010120130912PRAUD2*G14 18123420140203000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000021489870 +0000021638040 00000000000000000000000000000000000000000000000000000003400000007-00148170-0000000000000000000000000000000000000000000000990014400096    0000000000000000000000000000000000005                    AUDG14              EMERC2014013120140203+0000002033976+0000002293632
0000120010120130912PRAUD2*H14 18123420140305000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000021574610 +0000021721240 00000000000000000000000000000000000000000000000000000003400000007-00146630-0000000000000000000000000000000000000000000001190017400116    0000000000000000000000000000000000006                    AUDH14              EMERC2014022820140305+0000002041797+0000002302451
0000140010120130912PRAUD2*J14 18123420140401000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000021661890 +0000021808230 00000000000000000000000000000000000000000000000000000003400000007-00146340-0000000000000000000000000000000000000000000001380020100135    0000000000000000000000000000000000007                    AUDJ14              EMERC2014033120140401+0000002049974+0000002311672
0000160010120130912PRAUD2*K14 18123420140502000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000021751080 +0000021898160 00000000000000000000000000000000000000000000000000000003400000007-00147080-0000000000000000000000000000000000000000000001580023200155    0000000000000000000000000000000000008                    AUDK14              EMERC2014043020140502+0000002058428+0000002321204
0000180010120130912PRAUD2*M14 18123420140602000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000021844660 +0000021991050 00000000000000000000000000000000000000000000000000000003400000007-00146390-0000000000000000000000000000000000000000000001790026300176    0000000000000000000000000000000000009                    AUDM14              EMERC2014053020140602+0000002067159+0000002331051
0000200010120130912PRAUD2*N14 18123420140701000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000021937880 +0000022083770 00000000000000000000000000000000000000000000000000000003400000007-00145890-0000000000000000000000000000000000000000000001990029200196    0000000000000000000000000000000000010                    AUDN14              EMERC2014063020140701+0000002075875+0000002340879
0000220010120130912PRAUD2*Q14 18123420140801000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000022058180 +0000022198860 00000000000000000000000000000000000000000000000000000003400000006-00140680-0000000000000000000000000000000000000000000002220032300218    0000000000000000000000000000000000011                    AUDQ14              EMERC2014073120140801+0000002086693+0000002353079
