0000020010120170303PRAUD2*J17 19372720170403000000000000000006000000000000028269108000000901323400002093000000030000019800000+0000000000000+00000000+02376100+02376100+02381800+0237955500010+0238180016430020170303+02393800+00000000+0000023766320S+0000023949670 00000001100100000000000000000000000000000000000000000003400000008-00183350-0000000000000000000000000000000000000000000000210003100021    0000000000000000000000000000000000001                    AUDJ17              EMERC2017033120170403+0000002251300+0000002538600
0000040010120170303PRAUD2*K17 19372720170502000000000000000006000000000000000000000000000000000000000011000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170220+02408300+00000000+0000023901060S+0000024084550 00000001100940000000000000000000000000000000000000000003400000008-00183490-0000000000000000000000000000000000000000000000390006000039    0000000000000000000000000000000000002                    AUDK17              EMERC2017042820170502+0000002264000+0000002552900
0000060010120170303PRAUD2*M17 19372720170601000000000000000006000000000000000000000000000000000000000180000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170301+02425700+00000000+0000024070540S+0000024254280 00000001102440000000000000000000000000000000000000000003400000008-00183740-0000000000000000000000000000000000000000000000610009000061    0000000000000000000000000000000000003                    AUDM17              EMERC2017053120170601+0000002280000+0000002570900
0000080010120170303PRBGI2*F18 19372720180131000000000000000033000000000000000096320000000003077700000000000000020000000200000+0000000000000+00000000+00014594+00014594+00014594+0001459400001+0001459412460020170303+00014925+00000000+0000000014493S+0000000014530 00000000122100000000000000000000000000000000000000000002200000003-00000037-0000000000000000000000000000000000000000000002280033400225    0000000000000000000000000000000000009                    BGIF18              EMERC2018013120180201+0000000013986+0000000015000
0000100010120170303PRBGI2*H17 19372720170331000000000000000033000000000000016528221000000528125700001158000000620000034900002+0001429000010+00014320+00014390+00014281+00014434+0001435100023+0001431816120020170303+00014319+00000000+0000000014318S+0000000014319 00000000003300000000000000000000000000000000000000000002200000000-00000001-0000000000000000000000000000000000000000000000200002800020    0000000000000000000000000020170331001                    BGIH17              EMERC2017033120170403+0000000013817+0000000014819
0000120010120170303PRBGI2*J17 19372720170428000000000000000033000000000000000000000000000000000000000018000000000000000000001+0001416500001+00014310+00000000+00000000+00000000+0000000000000+0000000000000020170217+00014106+00000000+0000000014240S+0000000014245 00000000016500000000000000000000000000000000000000000002200000000-00000005-0000000000000000000000000000000000000000000000380005600038    0000000000000000000000000020170428002                    BGIJ17              EMERC2017042820170502+0000000013742+0000000014738
0000140010120170303PRBGI2*K17 19372720170531000000000000000033000000000000039990215000001277805900004787000002670000085500006+0001412000003+00014149+00014140+00014104+00014215+0001417300001+0001414715590020170303+00014140+00000000+0000000014129S+0000000014134 00000000016500000000000000000000000000000000000000000002200000000-00000005-0000000000000000000000000000000000000000000000600008900060    0000000000000000000000000020170531003                    BGIK17              EMERC2017053120170601+0000000013635+0000000014623
0000160010120170303PRBGI2*M17 19372720170630000000000000000033000000000000000000000000000000000000000004000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170221+00014150+00000000+0000000014215S+0000000014227 00000000039600000000000000000000000000000000000000000002200000001-00000012-0000000000000000000000000000000000000000000000810011900081    0000000000000000000000000020170630004                    BGIM17              EMERC2017063020170703+0000000013718+0000000014712
0000180010120170303PRBGI2*N17 19372720170731000000000000000033000000000000000000000000000000000000000002000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170301+00014260+00000000+0000000014293S+0000000014310 00000000056100000000000000000000000000000000000000000002200000001-00000017-0000000000000000000000000000000000000000000001020015000102    0000000000000000000000000020170731005                    BGIN17              EMERC2017073120170801+0000000013793+0000000014793
0000200010120170303PRBGI2*Q17 19372720170831000000000000000033000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000014371 +0000000014395 00000000000000000000000000000000000000000000000000000002200000002-00000024-0000000000000000000000000000000000000000000001250018100125    0000000000000000000000000000000000000                    BGIQ17              EMERC2017083120170901+0000000013869+0000000014873
0000220010120170303PRBGI2*U17 19372720170929000000000000000033000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000014442 +0000000014473 00000000000000000000000000000000000000000000000000000002200000002-00000031-0000000000000000000000000000000000000000000001450021000145    0000000000000000000000000000000000000                    BGIU17              EMERC2017092920171002+0000000013937+0000000014947
0000240010120170303PRBGI2*V17 19372720171031000000000000000033000000000000002734667000000087380700001801000000240000005700004+0001450500026+00014550+00014620+00014500+00014645+0001453800001+0001452516170020170303+00014549+00000000+0000000014513S+0000000014550 00000000122100000000000000000000000000000000000000000002200000003-00000037-0000000000000000000000000000000000000000000001660024200166    0000000000000000000000000020171031006                    BGIV17              EMERC2017103120171101+0000000014006+0000000015020
0000260010120170303PRBGI2*X17 19372720171130000000000000000033000000000000000000000000000000000000000077000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170126+00014540+00000000+0000000014528S+0000000014565 00000000122100000000000000000000000000000000000000000002200000003-00000037-0000000000000000000000000000000000000000000001860027200185    0000000000000000000000000020171130007                    BGIX17              EMERC2017113020171201+0000000014020+0000000015036
0000280010120170303PRBGI2*Z17 19372720171228000000000000000033000000000000000000000000000000000000000087000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020161228+00015000+00000000+0000000014578S+0000000014615 00000000122100000000000000000000000000000000000000000002200000003-00000037-0000000000000000000000000000000000000000000002050030000204    0000000000000000000000000020171228008                    BGIZ17              EMERC2017122820180102+0000000014068+0000000015088
0000300010120170303PRBGI4CHKIC19372720170331000000001470000033000000000000000000000000000000000000000158000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170123+00000080+00000000+0000000000005 +0000000000005 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000200002800020H17 0000000000000000000000000000000000000                    BGIH17C014700       EMERC2017033120170403+0000000000000+0000000000000
0000320010120170303PRBGI4CHKIM19372720170331000000001430000033000000000000000000000000000000000000000270000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170224+00000006+00000000+0000000000093 +0000000000096 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000200002800020H17 0000000000000000000000000000000000000                    BGIH17C014300       EMERC2017033120170403+0000000000000+0000000000000
0000340010120170303PRBGI4CHKIP19372720170331000000001440000033000000000000000000000000000000000000000230000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170203+00000064+00000000+0000000000050 +0000000000053 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000200002800020H17 0000000000000000000000000000000000000                    BGIH17C014400       EMERC2017033120170403+0000000000000+0000000000000
0000360010120170303PRBGI4CHKI319372720170331000000001530000033000000000000000000000000000000000000000300000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020161107+00000160+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000200002800020H17 0000000000000000000000000000000000000                    BGIH17C015300       EMERC2017033120170403+0000000000000+0000000000000
0000380010120170303PRBGI4CHKI719372720170331000000001450000033000000000000000000000000000000000000000050000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170202+00000030+00000000+0000000000025 +0000000000027 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000200002800020H17 0000000000000000000000000000000000000                    BGIH17C014500       EMERC2017033120170403+0000000000000+0000000000000
