0000020010120170307PRAUD2*J17 19291520170403000000000000000006000000000000016865970000000540836000002213000000060000011800000+0000000000000+00000000+02382200+02378800+02382700+0238219900005+0237880016260020170307+02381800+00000000+0000023811180S+0000023821240 00000000060360000000000000000000000000000000000000000003400000000-00010060-0000000000000000000000000000000000000000000000190002700019    0000000000000000000000000000000000001                    AUDJ17              EMERC2017033120170403+0000002239200+0000002525000
0000040010120170307PRAUD2*K17 19291520170502000000000000000006000000000000000000000000000000000000000011000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170220+02408300+00000000+0000023946900S+0000023953650 00000000040500000000000000000000000000000000000000000003400000000-00006750-0000000000000000000000000000000000000000000000370005600037    0000000000000000000000000000000000002                    AUDK17              EMERC2017042820170502+0000002251700+0000002539000
0000060010120170307PRAUD2*M17 19291520170601000000000000000006000000000000000000000000000000000000000180000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170301+02425700+00000000+0000024113190S+0000024125420 00000000073380000000000000000000000000000000000000000003400000001-00012230-0000000000000000000000000000000000000000000000590008600059    0000000000000000000000000000000000003                    AUDM17              EMERC2017053120170601+0000002267800+0000002557200
0000080010120170307PRBGI2*F18 19291520180131000000000000000033000000000000000000000000000000000000000002000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170303+00014594+00000000+0000000014497S+0000000014498 00000000003300000000000000000000000000000000000000000002200000000-00000001-0000000000000000000000000000000000000000000002260033000223    0000000000000000000000000020180131009                    BGIF18              EMERC2018013120180201+0000000013990+0000000015004
0000100010120170307PRBGI2*H17 19291520170331000000000000000033000000000000006796524000000218187000001214000000410000014400015+0001431000010+00014320+00014250+00014200+00014315+0001430200002+0001431116120020170307+00014301+00000000+0000000014311S+0000000014301 00000000033000000000000000000000000000000000000000000002200000001+00000010+0000000000000000000000000000000000000000000000180002400018    0000000000000000000000000020170331001                    BGIH17              EMERC2017033120170403+0000000013811+0000000014811
0000120010120170307PRBGI2*J17 19291520170428000000000000000033000000000000000000000000000000000000000018000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170306+00014200+00000000+0000000014237S+0000000014238 00000000003300000000000000000000000000000000000000000002200000000-00000001-0000000000000000000000000000000000000000000000360005200036    0000000000000000000000000020170428002                    BGIJ17              EMERC2017042820170502+0000000013739+0000000014735
0000140010120170307PRBGI2*K17 19291520170531000000000000000033000000000000034755283000001115739400004892000001680000074600001+0001412600016+00014140+00014120+00014081+00014140+0001411800001+0001414015590020170307+00014128+00000000+0000000014126S+0000000014127 00000000003300000000000000000000000000000000000000000002200000000-00000001-0000000000000000000000000000000000000000000000580008500058    0000000000000000000000000020170531003                    BGIK17              EMERC2017053120170601+0000000013632+0000000014620
0000160010120170307PRBGI2*M17 19291520170630000000000000000033000000000000000000000000000000000000000004000000000000000000000+0000000000001+00014220+00000000+00000000+00000000+0000000000000+0000000000000020170221+00014150+00000000+0000000014200S+0000000014201 00000000003300000000000000000000000000000000000000000002200000000-00000001-0000000000000000000000000000000000000000000000790011500079    0000000000000000000000000020170630004                    BGIM17              EMERC2017063020170703+0000000013703+0000000014697
0000180010120170307PRBGI2*N17 19291520170731000000000000000033000000000000000000000000000000000000000002000000000000000000000+0000000000002+00014290+00000000+00000000+00000000+0000000000000+0000000000000020170301+00014260+00000000+0000000014267S+0000000014268 00000000003300000000000000000000000000000000000000000002200000000-00000001-0000000000000000000000000000000000000000000001000014600100    0000000000000000000000000020170731005                    BGIN17              EMERC2017073120170801+0000000013768+0000000014766
0000200010120170307PRBGI2*Q17 19291520170831000000000000000033000000000000000000000000000000000000000000000000000000000000000+0000000000003+00014380+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000014332 +0000000014333 00000000000000000000000000000000000000000000000000000002200000000-00000001-0000000000000000000000000000000000000000000001230017700123    0000000000000000000000000000000000000                    BGIQ17              EMERC2017083120170901+0000000013831+0000000014833
0000220010120170307PRBGI2*U17 19291520170929000000000000000033000000000000000000000000000000000000000000000000000000000000000+0000000000001+00014442+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000014391 +0000000014392 00000000000000000000000000000000000000000000000000000002200000000-00000001-0000000000000000000000000000000000000000000001430020600143    0000000000000000000000000000000000000                    BGIU17              EMERC2017092920171002+0000000013888+0000000014894
0000240010120170307PRBGI2*V17 19291520171031000000000000000033000000000000000191046000000006133100001800000000040000000400010+0001446000001+00014498+00014477+00014466+00014477+0001447300001+0001447515500020170307+00014451+00000000+0000000014449S+0000000014450 00000000003300000000000000000000000000000000000000000002200000000-00000001-0000000000000000000000000000000000000000000001640023800164    0000000000000000000000000020171031006                    BGIV17              EMERC2017103120171101+0000000013944+0000000014954
0000260010120170307PRBGI2*X17 19291520171130000000000000000033000000000000000047685000000001530800000077000000010000000100004+0001443000001+00014619+00014450+00014450+00014450+0001445000001+0001445014530020170307+00014540+00000000+0000000014532S+0000000014533 00000000003300000000000000000000000000000000000000000002200000000-00000001-0000000000000000000000000000000000000000000001840026800183    0000000000000000000000000020171130007                    BGIX17              EMERC2017113020171201+0000000014024+0000000015040
0000280010120170307PRBGI2*Z17 19291520171228000000000000000033000000000000000000000000000000000000000087000000000000000000000+0000000000001+00014580+00000000+00000000+00000000+0000000000000+0000000000000020161228+00015000+00000000+0000000014582S+0000000014583 00000000003300000000000000000000000000000000000000000002200000000-00000001-0000000000000000000000000000000000000000000002030029600202    0000000000000000000000000020171228008                    BGIZ17              EMERC2017122820180102+0000000014072+0000000015092
0000300010120170307PRBGI4CHKIC19291520170331000000001470000033000000000000000000000000000000000000000158000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170123+00000080+00000000+0000000000003 +0000000000003 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002400018H17 0000000000000000000000000000000000000                    BGIH17C014700       EMERC2017033120170403+0000000000000+0000000000000
0000320010120170307PRBGI4CHKIM19291520170331000000001430000033000000000000000000000000000000000000000270000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170224+00000006+00000000+0000000000085 +0000000000082 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002400018H17 0000000000000000000000000000000000000                    BGIH17C014300       EMERC2017033120170403+0000000000000+0000000000000
0000340010120170307PRBGI4CHKIP19291520170331000000001440000033000000000000000000000000000000000000000230000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170203+00000064+00000000+0000000000044 +0000000000043 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002400018H17 0000000000000000000000000000000000000                    BGIH17C014400       EMERC2017033120170403+0000000000000+0000000000000
0000360010120170307PRBGI4CHKI319291520170331000000001530000033000000000000000000000000000000000000000300000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020161107+00000160+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002400018H17 0000000000000000000000000000000000000                    BGIH17C015300       EMERC2017033120170403+0000000000000+0000000000000
0000380010120170307PRBGI4CHKI719291520170331000000001450000033000000000000000000000000000000000000000050000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170202+00000030+00000000+0000000000021 +0000000000021 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002400018H17 0000000000000000000000000000000000000                    BGIH17C014500       EMERC2017033120170403+0000000000000+0000000000000
