Data;Código do Contrato;Pregão;Vencimento;Volume(R$);Volume(U$);Número de contas em Aberto;Preço de Abertura;Preço Mínimo;Preço Máximo;Último Preço;Preço de Ajuste Atual; Preço de Ajuste Anterior;Valor de Ajuste por Contrato;Variação
20170126;AUD;*;G17 ;0000100193550;0000031503443;00001419;02397500;02397500;02402000;02400600;0000024020110;0000024073090;0000000031788;00052980;
20170126;AUD;*;H17 ;0000006526710;0000002052166;00000428;02417300;02417300;02417300;02417300;0000024177680;0000024220940;0000000025956;00043260;
20170126;AUD;*;J17 ;0000046809504;0000014718118;00000026;02430400;02430400;02430400;02430400;0000024368440;0000024416920;0000000029088;00048480;
20170126;BGI;*;F17 ;0000018375634;0000005766533;00001042;00014689;00014629;00014689;00014630;0000000014630;0000000014730;0000000033000;00000100;
20170126;BGI;*;F18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000014490;0000000014590;0000000000000;00000100;
20170126;BGI;*;G17 ;0000001145347;0000000359426;00000160;00014420;00014420;00014500;00014450;0000000014470;0000000014543;0000000024090;00000073;
20170126;BGI;*;H17 ;0000000855871;0000000268584;00000065;00014425;00014380;00014425;00014400;0000000014340;0000000014425;0000000028050;00000085;
20170126;BGI;*;J17 ;0000000000000;0000000000000;00000002;00000000;00000000;00000000;00000000;0000000014262;0000000014325;0000000020790;00000063;
20170126;BGI;*;K17 ;0000036159014;0000011347208;00003490;00014102;00014055;00014130;00014086;0000000014086;0000000014115;0000000009570;00000029;
20170126;BGI;*;M17 ;0000000000000;0000000000000;00000003;00000000;00000000;00000000;00000000;0000000014181;0000000014224;0000000014190;00000043;
20170126;BGI;*;N17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000014262;0000000014318;0000000000000;00000056;
20170126;BGI;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000014350;0000000014422;0000000000000;00000072;
20170126;BGI;*;U17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000014430;0000000014516;0000000000000;00000086;
20170126;BGI;*;V17 ;0000012816378;0000004021960;00001298;00014620;00014510;00014620;00014510;0000000014510;0000000014610;0000000033000;00000100;
20170126;BGI;*;X17 ;0000000095997;0000000030125;00000076;00014550;00014540;00014550;00014540;0000000014475;0000000014575;0000000033000;00000100;
20170126;BGI;*;Z17 ;0000000000000;0000000000000;00000087;00000000;00000000;00000000;00000000;0000000014540;0000000014640;0000000033000;00000100;
20170126;BRI;*;G17 ;0000045001990;0000014149789;00001226;00011057;00011057;00011057;00011057;0000000011058;0000000011009;0000000049000;00000049;
20170126;BRI;*;J17 ;0000045080420;0000014174450;00000000;00011242;00011242;00011242;00011242;0000000011262;0000000011212;0000000050000;00000050;
20170126;BRI;*;M17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000011451;0000000011398;0000000000000;00000053;
20170126;BSE;*;F17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000027382;0000000027382;0000000000000;00000000;
20170126;BSE;*;G17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000027578;0000000027578;0000000000000;00000000;
20170126;BSE;*;H17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000027818;0000000027778;0000000000000;00000040;
20170126;CAD;*;G17 ;0000015297732;0000004810003;00001060;02424000;02424000;02432000;02432000;0000024334250;0000024152950;0000000108780;00181300;
20170126;CAD;*;H17 ;0000018335970;0000005765303;00000105;02440500;02440500;02449200;02449200;0000024503770;0000024330880;0000000103734;00172890;
20170126;CAD;*;J17 ;0000000000000;0000000000000;00000015;00000000;00000000;00000000;00000000;0000024730810;0000024556150;0000000104796;00174660;
20170126;CCM;*;F18 ;0000000000000;0000000000000;00000085;00000000;00000000;00000000;00000000;0000000003139;0000000003155;0000000007200;00000016;
20170126;CCM;*;F19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002762;0000000002776;0000000000000;00000014;
20170126;CCM;*;H17 ;0000021406185;0000006717563;00008166;00003530;00003475;00003555;00003495;0000000003491;0000000003525;0000000015300;00000034;
20170126;CCM;*;H18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000003104;0000000003120;0000000000000;00000016;
20170126;CCM;*;H19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002645;0000000002659;0000000000000;00000014;
20170126;CCM;*;K17 ;0000006209176;0000001948527;00006264;00003380;00003330;00003404;00003346;0000000003346;0000000003380;0000000015300;00000034;
20170126;CCM;*;K18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002865;0000000002880;0000000000000;00000015;
20170126;CCM;*;K19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002534;0000000002547;0000000000000;00000013;
20170126;CCM;*;N17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000003220;0000000003245;0000000000000;00000025;
20170126;CCM;*;N18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002741;0000000002755;0000000000000;00000014;
20170126;CCM;*;U17 ;0000002449129;0000000768571;00007227;00003130;00003071;00003130;00003099;0000000003099;0000000003115;0000000007200;00000016;
