Data;Código do Contrato;Vencimento;Volume(R$);Volume(U$);Número de contas em Aberto;Preço de Abertura;Preço Mínimo;Preço Máximo;Último Preço;Preço de Ajuste Atual; Preço de Ajuste Anterior;Valor de Ajuste por Contrato;Variação
20170803;BGI;F18 ;0.0;0.0;0;0.0;0.0;0.0;0.0;134.76;134.35;0.0;0.41
20170803;BGI;K18 ;0.0;0.0;127;0.0;0.0;0.0;0.0;137.53;137.32;69.3;0.21
20170803;BGI;Q17 ;5205.71;1669.78;1095;131.0;131.0;131.5;131.5;131.15;131.48;108.9;0.33
20170803;BGI;U17 ;3116.85;999.76;87;134.5;134.5;135.1;135.1;135.19;134.59;198.0;0.6
20170803;BGI;V17 ;1331986.09;427247.27;5667;136.7;135.81;137.6;137.3;137.24;136.63;201.3;0.61
20170803;BGI;V18 ;0.0;0.0;106;0.0;0.0;0.0;0.0;140.55;140.34;69.3;0.21
20170803;BGI;X17 ;15844.95;5082.42;160;137.0;137.0;137.5;137.5;137.24;136.62;204.6;0.62
20170803;BGI;Z17 ;0.0;0.0;5;0.0;0.0;0.0;0.0;137.42;136.8;204.6;0.62
20170821;BGI;F18 ;0.0;0.0;0;0.0;0.0;0.0;0.0;138.19;139.09;297.0;0.9
20170821;BGI;K18 ;22951.17;7256.14;224;142.4;141.0;143.1;141.0;141.05;142.06;333.3;1.01
20170821;BGI;Q17 ;31267.13;9885.28;896;137.7;137.0;137.7;137.49;136.5;136.75;82.5;0.25
20170821;BGI;U17 ;50838.41;16072.85;497;141.6;140.6;141.6;140.6;140.0;141.25;412.5;1.25
20170821;BGI;V17 ;1165074.43;368344.75;8405;141.65;140.5;142.72;140.9;140.99;141.81;270.6;0.82
20170821;BGI;V18 ;0.0;0.0;203;0.0;0.0;0.0;0.0;146.14;146.09;16.5;0.05
20170821;BGI;X17 ;7807.2;2468.29;370;140.4;138.7;140.4;138.7;138.25;139.75;495.0;1.5
20170821;BGI;Z17 ;0.0;0.0;8;0.0;0.0;0.0;0.0;140.85;141.67;270.6;0.82
20170208;BGI;F18 ;0.0;0.0;0;0.0;0.0;0.0;0.0;144.08;144.27;0.0;0.19
20170208;BGI;G17 ;209848.61;67343.35;378;144.2;143.51;144.2;143.7;143.7;144.5;264.0;0.8
20170208;BGI;H17 ;0.0;0.0;329;0.0;0.0;0.0;0.0;141.81;142.6;260.7;0.79
20170208;BGI;J17 ;0.0;0.0;18;0.0;0.0;0.0;0.0;140.9;141.69;260.7;0.79
20170208;BGI;K17 ;946070.63;303607.28;3762;140.42;139.52;140.42;139.81;139.76;140.54;257.4;0.78
20170208;BGI;M17 ;0.0;0.0;3;0.0;0.0;0.0;0.0;140.7;141.54;277.2;0.84
20170208;BGI;N17 ;0.0;0.0;0;0.0;0.0;0.0;0.0;141.53;142.39;0.0;0.86
20170208;BGI;Q17 ;0.0;0.0;0;0.0;0.0;0.0;0.0;142.39;143.32;0.0;0.93
20170208;BGI;U17 ;0.0;0.0;0;0.0;0.0;0.0;0.0;143.13;144.17;0.0;1.04
20170208;BGI;V17 ;189645.72;60859.96;1796;144.5;143.83;144.5;143.9;143.9;145.0;363.0;1.1
20170208;BGI;X17 ;0.0;0.0;77;0.0;0.0;0.0;0.0;144.6;144.58;6.6;0.02
20170208;BGI;Z17 ;0.0;0.0;87;0.0;0.0;0.0;0.0;144.38;144.58;66.0;0.2
20170808;BGI;F18 ;0.0;0.0;0;0.0;0.0;0.0;0.0;136.72;136.37;0.0;0.35
20170808;BGI;K18 ;22028.65;7047.36;157;139.04;138.95;139.25;139.25;139.31;139.05;85.8;0.26
20170808;BGI;Q17 ;2603.7;832.97;1016;131.5;131.5;131.5;131.5;130.9;131.8;297.0;0.9
20170808;BGI;U17 ;27578.26;8822.78;123;137.0;137.0;137.05;137.0;137.52;137.08;145.2;0.44
20170808;BGI;V17 ;2347653.13;751056.73;6428;139.0;138.15;140.0;139.43;139.46;139.01;148.5;0.45
20170808;BGI;V18 ;16417.5;5252.26;106;142.0;142.0;142.5;142.5;142.66;142.58;26.4;0.08
20170808;BGI;X17 ;28585.52;9145.03;196;138.61;138.6;140.0;139.5;139.46;139.01;148.5;0.45
20170808;BGI;Z17 ;458.04;146.54;5;138.8;138.8;138.8;138.8;139.64;139.19;148.5;0.45
20170127;BGI;F17 ;216266.62;68549.44;996;146.02;145.84;146.19;145.99;145.99;146.3;102.3;0.31
20170127;BGI;F18 ;0.0;0.0;0;0.0;0.0;0.0;0.0;143.96;144.9;0.0;0.94
20170127;BGI;G17 ;46090.04;14609.03;172;144.0;143.9;144.0;144.0;144.31;144.7;128.7;0.39
20170127;BGI;H17 ;51909.0;16453.45;72;143.0;143.0;143.0;143.0;142.83;143.4;188.1;0.57
20170127;BGI;J17 ;0.0;0.0;2;0.0;0.0;0.0;0.0;142.24;142.62;125.4;0.38
20170127;BGI;K17 ;493111.37;156300.16;3383;140.9;140.11;140.9;140.4;140.4;140.86;151.8;0.46
20170127;BGI;M17 ;0.0;0.0;3;0.0;0.0;0.0;0.0;141.23;141.81;191.4;0.58
20170127;BGI;N17 ;0.0;0.0;0;0.0;0.0;0.0;0.0;141.96;142.62;0.0;0.66
20170127;BGI;Q17 ;0.0;0.0;0;0.0;0.0;0.0;0.0;142.74;143.5;0.0;0.76
20170127;BGI;U17 ;0.0;0.0;0;0.0;0.0;0.0;0.0;143.46;144.3;0.0;0.84
20170127;BGI;V17 ;151054.76;47879.41;1414;145.5;144.16;145.5;144.16;144.16;145.1;310.2;0.94
20170127;BGI;X17 ;0.0;0.0;77;0.0;0.0;0.0;0.0;143.81;144.75;310.2;0.94
20170127;BGI;Z17 ;0.0;0.0;87;0.0;0.0;0.0;0.0;144.46;145.4;310.2;0.94
20170503;BGI;F18 ;0.0;0.0;0;0.0;0.0;0.0;0.0;139.75;140.44;0.0;0.69
20170503;BGI;K17 ;216626.22;68713.51;4918;137.1;136.3;137.1;136.5;136.39;137.04;214.5;0.65
20170503;BGI;K18 ;37339.5;11844.03;0;139.3;139.3;145.0;145.0;145.0;140.0;1650.0;5.0
20170503;BGI;M17 ;17046.38;5407.09;153;136.5;135.5;136.5;135.74;135.38;136.2;270.6;0.82
20170503;BGI;N17 ;450.45;142.88;14;136.5;136.5;136.5;136.5;137.0;137.33;108.9;0.33
20170503;BGI;Q17 ;0.0;0.0;25;0.0;0.0;0.0;0.0;137.25;137.25;0.0;0.0
20170503;BGI;U17 ;0.0;0.0;0;0.0;0.0;0.0;0.0;138.82;139.51;0.0;0.69
20170503;BGI;V17 ;115102.68;36510.4;2195;140.05;139.35;140.2;139.35;139.35;140.04;227.7;0.69
20170503;BGI;V18 ;0.0;0.0;0;0.0;0.0;0.0;0.0;149.52;139.8;0.0;9.72
20170503;BGI;X17 ;463.32;146.96;58;140.4;140.4;140.4;140.4;140.05;140.74;227.7;0.69
20170503;BGI;Z17 ;0.0;0.0;2;0.0;0.0;0.0;0.0;141.12;141.82;231.0;0.7
20170220;BGI;F18 ;0.0;0.0;0;0.0;0.0;0.0;0.0;144.59;144.24;0.0;0.35
20170220;BGI;G17 ;43322.0;14036.87;723;144.2;144.2;144.44;144.44;144.48;144.27;69.3;0.21
20170220;BGI;H17 ;28681.12;9293.04;528;142.0;141.75;142.5;142.5;142.5;141.79;234.3;0.71
20170220;BGI;J17 ;0.0;0.0;18;0.0;0.0;0.0;0.0;142.41;141.57;277.2;0.84
20170220;BGI;K17 ;382837.81;124044.26;4184;140.55;140.4;141.4;141.4;141.29;140.42;287.1;0.87
20170220;BGI;M17 ;0.0;0.0;3;0.0;0.0;0.0;0.0;142.03;141.27;250.8;0.76
20170220;BGI;N17 ;0.0;0.0;0;0.0;0.0;0.0;0.0;142.7;142.04;0.0;0.66
20170220;BGI;Q17 ;0.0;0.0;0;0.0;0.0;0.0;0.0;143.38;142.82;0.0;0.56
20170220;BGI;U17 ;0.0;0.0;0;0.0;0.0;0.0;0.0;143.99;143.53;0.0;0.46
20170220;BGI;V17 ;10032.99;3250.81;1766;144.8;144.7;144.8;144.7;144.6;144.25;115.5;0.35
20170220;BGI;X17 ;0.0;0.0;77;0.0;0.0;0.0;0.0;145.32;144.97;115.5;0.35
20170220;BGI;Z17 ;0.0;0.0;87;0.0;0.0;0.0;0.0;144.67;144.32;115.5;0.35
