Data;Código do Contrato;Vencimento;Volume(R$);Volume(U$);Número de contas em Aberto;Preço de Abertura;Preço Mínimo;Preço Máximo;Último Preço;Preço de Ajuste Atual; Preço de Ajuste Anterior;Valor de Ajuste por Contrato;Variação
20170803;CCM;F18 ;11933.37;3827.74;2699;29.1;28.97;29.5;29.5;29.33;29.09;108.0;0.24
20170803;CCM;H18 ;5365.62;1721.07;430;30.59;30.55;30.6;30.55;30.44;30.57;58.5;0.13
20170803;CCM;K18 ;133.87;42.94;81;29.75;29.75;29.75;29.75;29.47;29.6;58.5;0.13
20170803;CCM;N18 ;0.0;0.0;0;0.0;0.0;0.0;0.0;29.45;29.55;0.0;0.1
20170803;CCM;U17 ;343452.15;110165.56;18104;26.0;25.61;26.2;26.04;25.98;26.01;13.5;0.03
20170803;CCM;U18 ;0.0;0.0;91;0.0;0.0;0.0;0.0;29.45;29.52;31.5;0.07
20170803;CCM;X17 ;57365.55;18400.55;2130;28.0;27.8;28.64;28.11;28.32;28.09;103.5;0.23
20170803;CCM;X18 ;0.0;0.0;0;0.0;0.0;0.0;0.0;30.11;30.18;0.0;0.07
20170821;CCM;F18 ;21428.5;6774.74;3095;31.04;30.95;31.19;31.1;31.1;31.28;81.0;0.18
20170821;CCM;H18 ;19760.89;6247.52;881;32.0;32.0;32.15;32.0;31.93;32.19;117.0;0.26
20170821;CCM;K18 ;3601.12;1138.51;214;32.01;32.01;32.01;32.01;32.11;31.69;189.0;0.42
20170821;CCM;N18 ;0.0;0.0;0;0.0;0.0;0.0;0.0;31.8;31.48;144.0;0.32
20170821;CCM;U17 ;215019.63;67979.65;16060;28.73;28.55;29.1;28.95;28.94;28.63;139.5;0.31
20170821;CCM;U18 ;572.58;181.02;124;31.81;31.81;31.81;31.81;31.51;31.29;99.0;0.22
20170821;CCM;X17 ;95267.88;30119.47;5014;29.6;29.4;29.95;29.82;29.81;29.65;72.0;0.16
20170821;CCM;X18 ;0.0;0.0;0;0.0;0.0;0.0;0.0;32.23;32.01;99.0;0.22
20170208;CCM;F18 ;140.8;45.18;86;31.29;31.29;31.29;31.29;31.0;31.6;270.0;0.6
20170208;CCM;F19 ;0.0;0.0;0;0.0;0.0;0.0;0.0;27.19;27.73;0.0;0.54
20170208;CCM;H17 ;108010.08;34661.94;6921;34.05;33.88;34.23;34.16;34.11;34.01;45.0;0.1
20170208;CCM;H18 ;0.0;0.0;0;0.0;0.0;0.0;0.0;31.44;32.05;0.0;0.61
20170208;CCM;H19 ;0.0;0.0;0;0.0;0.0;0.0;0.0;26.03;26.55;0.0;0.52
20170208;CCM;K17 ;30869.1;9906.33;6834;32.14;32.05;32.38;32.25;32.25;32.27;9.0;0.02
20170208;CCM;K18 ;0.0;0.0;0;0.0;0.0;0.0;0.0;28.27;28.82;0.0;0.55
20170208;CCM;K19 ;0.0;0.0;0;0.0;0.0;0.0;0.0;24.92;25.43;0.0;0.51
20170208;CCM;N17 ;0.0;0.0;0;0.0;0.0;0.0;0.0;31.41;31.42;0.0;0.01
20170208;CCM;N18 ;0.0;0.0;0;0.0;0.0;0.0;0.0;27.03;27.55;0.0;0.52
20170208;CCM;U17 ;40943.47;13139.33;8529;30.55;30.47;30.65;30.58;30.58;30.58;0.0;0.0
20170208;CCM;U18 ;0.0;0.0;0;0.0;0.0;0.0;0.0;25.81;26.32;0.0;0.51
20170208;CCM;X17 ;0.0;0.0;1;0.0;0.0;0.0;0.0;30.8;31.1;135.0;0.3
20170208;CCM;X18 ;0.0;0.0;0;0.0;0.0;0.0;0.0;26.48;27.01;0.0;0.53
20170808;CCM;F18 ;30415.5;9730.47;2721;29.83;29.8;30.19;29.91;29.82;29.73;40.5;0.09
20170808;CCM;H18 ;51382.3;16438.13;503;30.8;30.51;30.8;30.51;31.15;30.94;94.5;0.21
20170808;CCM;K18 ;135.27;43.28;134;30.06;30.06;30.06;30.06;30.15;29.95;90.0;0.2
20170808;CCM;N18 ;0.0;0.0;0;0.0;0.0;0.0;0.0;30.16;29.95;0.0;0.21
20170808;CCM;U17 ;161422.02;51641.83;18636;26.43;26.42;26.73;26.64;26.61;26.51;45.0;0.1
20170808;CCM;U18 ;0.0;0.0;91;0.0;0.0;0.0;0.0;30.2;29.97;103.5;0.23
20170808;CCM;X17 ;62899.87;20122.81;2649;28.65;28.61;28.98;28.88;28.79;28.7;40.5;0.09
20170808;CCM;X18 ;0.0;0.0;0;0.0;0.0;0.0;0.0;30.88;30.64;0.0;0.24
20170127;CCM;F18 ;0.0;0.0;85;0.0;0.0;0.0;0.0;31.4;31.39;4.5;0.01
